Designator,Mid X,Mid Y,Rotation,Layer
A1,297.2,-13.915,0.0,top
D1,5.08,-4.0,90.0,bottom
D10,176.53,-4.0,90.0,bottom
D11,195.58,-4.0,90.0,bottom
D12,214.63,-4.0,90.0,bottom
D13,233.68,-4.0,90.0,bottom
D14,262.255,-4.0,90.0,bottom
D15,-23.495,-23.05,90.0,bottom
D16,9.8425,-23.05,90.0,bottom
D17,33.655,-23.05,90.0,bottom
D18,52.705,-23.05,90.0,bottom
D19,71.755,-23.05,90.0,bottom
D2,24.13,-4.0,90.0,bottom
D20,90.805,-23.05,90.0,bottom
D21,109.855,-23.05,90.0,bottom
D22,128.905,-23.05,90.0,bottom
D23,147.955,-23.05,90.0,bottom
D24,167.005,-23.05,90.0,bottom
D25,186.055,-23.05,90.0,bottom
D26,205.105,-23.05,90.0,bottom
D27,224.155,-23.05,90.0,bottom
D28,243.205,-23.05,90.0,bottom
D29,267.0175,-23.05,90.0,bottom
D3,43.18,-4.0,90.0,bottom
D30,-23.495,-42.1,90.0,bottom
D31,12.2238,-42.1,90.0,bottom
D32,38.4175,-42.1,90.0,bottom
D33,57.4675,-42.1,90.0,bottom
D34,76.5175,-42.1,90.0,bottom
D35,95.5675,-42.1,90.0,bottom
D36,114.6175,-42.1,90.0,bottom
D37,133.6675,-42.1,90.0,bottom
D38,152.7175,-42.1,90.0,bottom
D39,171.7675,-42.1,90.0,bottom
D4,62.23,-4.0,90.0,bottom
D40,190.8175,-42.1,90.0,bottom
D41,209.8675,-42.1,90.0,bottom
D42,228.9175,-42.1,90.0,bottom
D43,259.8738,-42.1,90.0,bottom
D44,-23.495,-61.15,90.0,bottom
D45,16.9863,-61.15,90.0,bottom
D46,47.9425,-61.15,90.0,bottom
D47,66.9925,-61.15,90.0,bottom
D48,86.0425,-61.15,90.0,bottom
D49,105.0925,-61.15,90.0,bottom
D5,81.28,-4.0,90.0,bottom
D50,124.1425,-61.15,90.0,bottom
D51,143.1925,-61.15,90.0,bottom
D52,162.2425,-61.15,90.0,bottom
D53,181.2925,-61.15,90.0,bottom
D54,200.3425,-61.15,90.0,bottom
D55,219.3925,-61.15,90.0,bottom
D56,255.1113,-61.15,90.0,bottom
D57,-23.495,-80.2,90.0,bottom
D58,7.4613,-80.2,90.0,bottom
D59,31.2738,-80.2,90.0,bottom
D6,100.33,-4.0,90.0,bottom
D60,55.0863,-80.2,90.0,bottom
D61,126.5238,-80.2,90.0,bottom
D62,197.9613,-80.2,90.0,bottom
D63,221.7738,-80.2,90.0,bottom
D64,245.5863,-80.2,90.0,bottom
D65,269.3988,-80.2,90.0,bottom
D7,119.38,-4.0,90.0,bottom
D8,138.43,-4.0,90.0,bottom
D9,157.48,-4.0,90.0,bottom
J1,297.89,-85.0,270.0,top
R1,287.2,-48.0,0.0,top
R2,297.2,-48.0,0.0,top
R3,307.2,-48.0,0.0,top
R4,-14.8525,0.47,0.0,top
SW1,0.0,0.0,0.0,top
SW10,171.45,0.0,0.0,top
SW11,190.5,0.0,0.0,top
SW12,209.55,0.0,0.0,top
SW13,228.6,0.0,0.0,top
SW14,257.175,0.0,0.0,top
SW15,-28.575,-19.05,0.0,top
SW16,4.7625,-19.05,0.0,top
SW17,28.575,-19.05,0.0,top
SW18,47.625,-19.05,0.0,top
SW19,66.675,-19.05,0.0,top
SW2,19.05,0.0,0.0,top
SW20,85.725,-19.05,0.0,top
SW21,104.775,-19.05,0.0,top
SW22,123.825,-19.05,0.0,top
SW23,142.875,-19.05,0.0,top
SW24,161.925,-19.05,0.0,top
SW25,180.975,-19.05,0.0,top
SW26,200.025,-19.05,0.0,top
SW27,219.075,-19.05,0.0,top
SW28,238.125,-19.05,0.0,top
SW29,261.9375,-19.05,0.0,top
SW3,38.1,0.0,0.0,top
SW30,-28.575,-38.1,0.0,top
SW31,7.1438,-38.1,0.0,top
SW32,33.3375,-38.1,0.0,top
SW33,52.3875,-38.1,0.0,top
SW34,71.4375,-38.1,0.0,top
SW35,90.4875,-38.1,0.0,top
SW36,109.5375,-38.1,0.0,top
SW37,128.5875,-38.1,0.0,top
SW38,147.6375,-38.1,0.0,top
SW39,166.6875,-38.1,0.0,top
SW4,57.15,0.0,0.0,top
SW40,185.7375,-38.1,0.0,top
SW41,204.7875,-38.1,0.0,top
SW42,223.8375,-38.1,0.0,top
SW43,254.7938,-38.1,0.0,top
SW44,-28.575,-57.15,0.0,top
SW45,11.9063,-57.15,0.0,top
SW46,42.8625,-57.15,0.0,top
SW47,61.9125,-57.15,0.0,top
SW48,80.9625,-57.15,0.0,top
SW49,100.0125,-57.15,0.0,top
SW5,76.2,0.0,0.0,top
SW50,119.0625,-57.15,0.0,top
SW51,138.1125,-57.15,0.0,top
SW52,157.1625,-57.15,0.0,top
SW53,176.2125,-57.15,0.0,top
SW54,195.2625,-57.15,0.0,top
SW55,214.3125,-57.15,0.0,top
SW56,250.0313,-57.15,0.0,top
SW57,-28.575,-76.2,0.0,top
SW58,2.3813,-76.2,0.0,top
SW59,26.1938,-76.2,0.0,top
SW6,95.25,0.0,0.0,top
SW60,50.0063,-76.2,0.0,top
SW61,121.4438,-76.2,0.0,top
SW62,192.8813,-76.2,0.0,top
SW63,216.6938,-76.2,0.0,top
SW64,240.5063,-76.2,0.0,top
SW65,264.3188,-76.2,0.0,top
SW66,-28.46,0.37,0.0,top
SW7,114.3,0.0,0.0,top
SW8,133.35,0.0,0.0,top
SW9,152.4,0.0,0.0,top
